번호,지역,회사명,전화번호,생산품,공장대표주소
233,서대구산업단지,태성금속,053-563-2544,"나사못,자동차부품 ",대구광역시 서구 와룡로 377-8 (중리동)
234,서대구산업단지,미진산업사,053-563-6924,화섬직,대구광역시 서구 와룡로99길 32 (이현동)
235,서대구산업단지,팔공산업,053-563-8080,"산업용초음파세척기,상토제조기",대구광역시 서구 국채보상로3길 26 (이현동)
236,서대구산업단지,삼성종합기계,053-563-8962,"정미기,고추건조기",대구광역시 서구 평리로17길 30 (중리동)
237,서대구산업단지,(주)남경씨앤비,053-564-0123,"전자클러치,브레이크",대구광역시 서구 국채보상로23길 7 (이현동)
238,서대구산업단지,미지앤,053-564-0230,롤스크린,대구광역시 서구 평리로35길 5-12 (중리동)
239,서대구산업단지,영진전사,053-564-0257,나염직,"대구광역시 서구 문화로7길 29 (이현동, 영진전사)"
240,서대구산업단지,(주)이베인,053-564-1120,"이불,침구류","대구광역시 서구 와룡로66길 11, 2층 (중리동)"
241,서대구산업단지,아세아 비엔에이치 씨,053-564-1211,화장품,"대구광역시 서구 북비산로 12-18 (이현동, 아세아화학)"
242,서대구산업단지,대흥산업,053-564-1732,"나일론,폴리에스텔직물 코팅",대구광역시 서구 와룡로90길 8 (이현동)
243,서대구산업단지,(주)한국소방기구제작소,053-564-2201,소화기,"대구광역시 서구 평리로29길 33 (중리동, 한국소방기구)"
244,서대구산업단지,부국디앤피,053-564-4441,인쇄물,"대구광역시 서구 와룡로100길 46 (이현동, 부국기획)"
245,서대구산업단지,성광테크,053-564-4461,자동차 부품 도금,대구광역시 서구 국채보상로10길 8 (중리동)
246,서대구산업단지,인디샘,053-564-5201,"인쇄, 섬유샘플","대구광역시 서구 와룡로99길 23 (이현동, 연주어패럴)"
247,서대구산업단지,대일텍스,053-564-5700,"섬유가공,다림질",대구광역시 서구 와룡로100길 16 (이현동)
248,서대구산업단지,주식회사서보,053-564-6000,태양광발전세트중 접속반,대구광역시 서구 와룡로84길 15 (이현동)
249,서대구산업단지,대일다이텍,053-564-6511,"poly,카치온,인견",대구광역시 서구 문화로3길 6 (이현동)
250,서대구산업단지,대경금속,053-564-8188,금속열처리,"대구광역시 서구 문화로 38-7, 104동 (이현동)"
251,서대구산업단지,(주)제일인쇄산업,053-564-8500,인쇄물,"대구광역시 서구 평리로35길 6-7 (중리동, 제일인쇄산업)"
252,서대구산업단지,(주)대성나사산업,053-565-0832,"볼트,너트",대구광역시 서구 국채보상로 39 (이현동)
253,서대구산업단지,삼흥전기,053-565-1269,배전반,"대구광역시 서구 국채보상로14길 17 (중리동, 태양화섬)"
254,서대구산업단지,(주)지피아이,053-565-1808,섬유외관검사,대구광역시 서구 평리로35길 13-16 (중리동)
255,서대구산업단지,남영섬유,053-565-4012,인조섬유,"대구광역시 서구 와룡로84길 13-2 (이현동, 남영섬유)"
256,서대구산업단지,태백목재사,053-565-4110,미송각재,"대구광역시 서구 평리로21길 7 (중리동, 태백목재)"
257,서대구산업단지,신흥섬유,053-565-4477,폴리에스터다후다염색가공,"대구광역시 서구 문화로 19 (이현동, 을화)"
258,서대구산업단지,(주)청우섬유,053-565-5800,화섬 교직물 염색가공,"대구광역시 서구 와룡로87길 106 (이현동, 청우섬유) (총 2 필지)"
259,서대구산업단지,명성연사,053-565-6467,"재봉사(폴리,나이론)",대구광역시 서구 와룡로100길 28 (이현동)
260,서대구산업단지,정현산업,053-565-6565,점착테이프,"대구광역시 서구 와룡로99길 17, 이현팩토리밸리 12동 (이현동)"
261,서대구산업단지,알리다그룹주식회사,053-565-6844,"간판, 실사출력,LED전광판","대구광역시 서구 문화로 38-7,  201동 (이현동)"
262,서대구산업단지,태화섬유,053-565-6888,섬유주름 임가공품,대구광역시 서구 와룡로65길 16 (중리동)
263,서대구산업단지,유한포장,053-565-8585,상자,대구광역시 서구 와룡로70길 14 (중리동)
264,서대구산업단지,금보정밀,053-566-0764,"측조인트,코아",대구광역시 서구 문화로3길 29 (이현동)
265,서대구산업단지,대경비닐산업사,053-566-1073,비닐,대구광역시 서구 와룡로73길 57-10 (중리동)
266,서대구산업단지,성진섬유,053-566-1174,사염,대구광역시 서구 와룡로72길 24 (중리동)
267,서대구산업단지,대구캐노픽스,053-566-1200,"캐노픽스,캐노피",대구광역시 서구 와룡로 383 (중리동)
268,서대구산업단지,대성사,053-566-2633,폴리에스텔,대구광역시 서구 와룡로62길 10 (중리동) (총 3 필지)
269,서대구산업단지,제일공업사,053-566-2741,조명장치,대구광역시 서구 와룡로100길 6 (이현동)
270,서대구산업단지,동양정밀(주) 제2공장,053-566-3180,플라이휠,대구광역시 서구 문화로19길 3 (이현동)
271,서대구산업단지,동양정밀(주)제3공장,053-566-3180,자동차엔진용 부품,대구광역시 서구 와룡로66길 29 (중리동)
272,서대구산업단지,한성정밀기계,053-566-4288,가정용온수보일러,"대구광역시 서구 와룡로69길 27 (중리동, 덕성직물)"
273,서대구산업단지,(주)현화피앤이,053-566-4751,섬유염색(프린팅)가공,대구광역시 서구 와룡로66길 39 (중리동)
274,서대구산업단지,신창정밀(2공장),053-566-5518,자동차 부품,대구광역시 서구 국채보상로3길 30 (이현동)
275,서대구산업단지,원대정밀,053-566-6955,"섬유기계,농기계","대구광역시 서구 와룡로 350 (중리동, 원대기계)"
276,서대구산업단지,(주)경북기공사,053-566-7731,자동차 정비,대구광역시 서구 문화로 21 (이현동)
277,서대구산업단지,성화섬유공업사,053-566-8237,면티셔츠,대구광역시 서구 와룡로70길 41 (중리동)
278,서대구산업단지,신진섬유,053-566-8691,"의복(셔츠,교복외)",대구광역시 서구 국채보상로2길 13 (중리동)
279,서대구산업단지,(주)유성산자,053-567-0661,화학섬유원단(천막용),"대구광역시 서구 와룡로87길 80 (이현동, 유성산자)"
280,서대구산업단지,동원염직(주),053-567-1623,폴리스판,대구광역시 서구 와룡로72길 18 (중리동)
281,서대구산업단지,감로바이오-텍,053-567-1635,양곡,대구광역시 서구 국채보상로23길 20 (이현동) (총 2 필지)
282,서대구산업단지,조광물산,053-567-2533,전구,"대구광역시 서구 와룡로99길 24 (이현동, 신라아트)"
283,서대구산업단지,(주)도아인더스,053-567-2593,교직물,"대구광역시 서구 평리로21길 33 (중리동, 태화섬유)"
284,서대구산업단지,경원정공,053-567-4358,금형,"대구광역시 서구 와룡로99길 17, 이현팩토리밸리 16동 (이현동)"
285,서대구산업단지,고려전선(주),053-567-5001,전선케이블,"대구광역시 서구 국채보상로 71 (이현동, 고려전선) (총 2 필지)"
286,서대구산업단지,(주)모아콘,053-567-5858,콘택트렌즈,"대구광역시 서구 와룡로 360,  2층 (중리동)"
287,서대구산업단지,한라테크,053-567-7271,자동차부품 도금,대구광역시 서구 와룡로65길 14 (중리동)
288,서대구산업단지,대동산업사,053-567-7748,정미,"대구광역시 서구 국채보상로23길 13 (이현동, 대동산업공사)"
289,서대구산업단지,영원,053-567-8709,콘택트렌즈용 플라스틱케이스,대구광역시 서구 와룡로84길 13 (이현동)
290,서대구산업단지,대성직물,053-567-9031,폴리에스텔,"대구광역시 서구 와룡로70길 37 (중리동, 대성직물)"
291,서대구산업단지,다인데코,053-567-9228,침구,대구광역시 서구 와룡로69길 16 (중리동)
292,서대구산업단지,(주)지노인터내셔널,053-568-0322,폴리에스텔스크린,"대구광역시 서구 와룡로72길 14 (중리동, 정우나염)"
293,서대구산업단지,(주)라이스산업,053-568-3800,곡물선별기,대구광역시 서구 와룡로65길 23 (중리동)
294,서대구산업단지,우주금속,053-568-4010,땜납(선),대구광역시 서구 국채보상로7길 21 (이현동)
295,서대구산업단지,광림크레인특장,053-568-5705,"특장차 제조 및 수리,정비",대구광역시 서구 와룡로 311 (중리동)
296,서대구산업단지,일샷다,053-571-0145,셔터,대구광역시 서구 와룡로 395 (중리동)
297,서대구산업단지,화성금속,053-571-1162,도금,대구광역시 서구 와룡로99길 21 (이현동)
298,서대구산업단지,세동섬유 주식회사,053-571-4711,현수막 원단,대구광역시 서구 와룡로69길 38 (중리동)
299,서대구산업단지,(주)부광에프디,053-571-6006,섬유염색제품,대구광역시 서구 와룡로72길 47 (중리동)
300,서대구산업단지,디자인낙타,053-571-8882,"인쇄물,원단샘플",대구광역시 서구 문화로7길 19 (이현동)
301,서대구산업단지,참존식품,053-572-1323,"음료,다류,소스","대구광역시 서구 와룡로73길 57-14 (중리동, 참존식품)"
302,서대구산업단지,(주)대일유화,053-572-7893,페인트희석제,대구광역시 서구 와룡로87길 42 (이현동)
303,서대구산업단지,삼진정공,053-573-0418,"선박및자동차부품(샤프트,로라,볼트,노즐등)","대구광역시 서구 와룡로 391-6 (중리동, 삼진공업사)"
304,서대구산업단지,(주)태일정밀,053-573-1468,프레스금형,"대구광역시 서구 문화로4길 19 (이현동, 태일정밀)"
305,서대구산업단지,다원,053-573-3900,블라인드,대구광역시 서구 평리로35길 65-1 (중리동)
306,서대구산업단지,(주)티지텍스타일,053-573-7767,"침구관련제품,PE원단",대구광역시 서구 국채보상로19길 23 (이현동)
307,서대구산업단지,합동줄공업사,053-581-0461,철공용줄,대구광역시 서구 와룡로87길 11 (이현동)
308,서대구산업단지,보림산업,053-581-7327,식품가공기계,대구광역시 서구 국채보상로5길 17-1 (이현동)
309,서대구산업단지,매일식품,053-582-3980,"돼지부산물(막창,대창)",대구광역시 서구 국채보상로 38-17 (중리동)
310,서대구산업단지,조양모방(주)이현제1공장,053-583-2600,원단염색가공품,"대구광역시 서구 와룡로87길 74 (이현동, 대경염직)"
311,서대구산업단지,동명전동지게차,053-583-6134,"전동기부품, 기계부품외",대구광역시 서구 와룡로87길 26 (이현동)
312,서대구산업단지,시골김치,053-583-8800,김치,대구광역시 서구 와룡로70길 40 (중리동)
313,서대구산업단지,명보하이텍,053-584-6120,공작기계부품,"대구광역시 서구 와룡로 385-5 (중리동, 동신공업)"
314,서대구산업단지,엠지메디텍,053-584-8621,약포장기,"대구광역시 서구 국채보상로 38-10 (중리동, 성팀제침공업사)"
315,서대구산업단지,(주)지앤티클린,053-585-9393,물티슈외 패드,대구광역시 서구 와룡로 447-10 (이현동)
316,서대구산업단지,그린위생산업,053-585-9393,"식당용물수건,물티슈",대구광역시 서구 와룡로 447-11 (이현동)
317,서대구산업단지,광현TEXTILE,053-585-9741,"면직물,폴리모직",대구광역시 서구 국채보상로6길 20 (중리동)
318,서대구산업단지,성민정포,053-586-6036,"섬유,원단",대구광역시 서구 국채보상로20길 29 (중리동)
319,서대구산업단지,대웅섬유,053-586-6811,"바닥재,벽지",대구광역시 서구 국채보상로20길 14 (중리동)
320,서대구산업단지,(주)대웅에프엔티,053-586-7811,스판텍스 카바링사,대구광역시 서구 국채보상로20길 14 (중리동)
321,서대구산업단지,태흥정밀,053-586-7881,금형,대구광역시 서구 문화로7길 21-1 (이현동)
322,서대구산업단지,(주)휴코스,053-592-0135,목재가구외,대구광역시 서구 평리로35길 63-1 (중리동)
323,서대구산업단지,일흥테크,053-592-7444,자동차부품 금형,대구광역시 서구 문화로23길 24 (이현동)
324,서대구산업단지,(주)에이테크 글로벌,053-592-9260,자동화설비제작,대구광역시 서구 국채보상로5길 16 (이현동)
325,서대구산업단지,(주)자인 1공장지점,053-593-8866,한지 직물,"대구광역시 서구 와룡로72길 37-2, 가동 (중리동)"
326,서대구산업단지,평화정공(주),053-605-6250,"도어댓치,힌지,모듈","대구광역시 서구 와룡로 335 (중리동, 평화정공(주))"
327,서대구산업단지,고미섬유,053-615-2060,버티칼브라인드,대구광역시 서구 국채보상로20길 32 (중리동)
328,서대구산업단지,주식회사 코코리아,053-622-5633,바베큐그릴,"대구광역시 서구 와룡로87길 9, 1층 (이현동)"
329,서대구산업단지,지큐아이(G.Q.I),053-636-4621,섬유외관검사,대구광역시 서구 문화로3길 21 (이현동)
330,서대구산업단지,(주)천일도금,053-654-1001,도금,대구광역시 서구 국채보상로19길 17 (이현동)
331,서대구산업단지,오성이엔씨,053-719-0685,"쓰레기통, 일반철물",대구광역시 서구 북비산로6길 13 (이현동)
332,서대구산업단지,대광케미칼(주),053-721-8856,화공약품,대구광역시 서구 와룡로87길 96 (이현동)
333,서대구산업단지,도예침장,053-755-3961,침구류,대구광역시 서구 와룡로72길 37-9 (중리동)
334,서대구산업단지,한진영상정보(주),053-761-3801,"녹화기,영상감시장치,구내방송장치 외",대구광역시 서구 와룡로 366-1 (중리동)
335,서대구산업단지,주식회사 디티에프앤비 제1공장,053-761-5363,양념,"대구광역시 서구 와룡로97길 14, 이현팩토리밸리 7동 (이현동)"
336,서대구산업단지,주식회사 디티에프앤비 제2공장,053-761-5363,"신선육계(순살,근위)","대구광역시 서구 와룡로97길 14, 이현팩토리밸리 8동 (이현동)"
337,서대구산업단지,설동궁컴퍼니,1688-8772,소스제조,대구광역시 서구 평리로35길 13-15 (중리동)
338,대구염색지방산업단지,(주)신경일염직,070-7455-0002,"면직물,스판직물 염색",대구광역시 서구 염색공단로13길 38 (비산동)
339,대구염색지방산업단지,자연W&D,053-341-2928,피그먼트,"대구광역시 서구 염색공단로13길 41, 자연W&D (비산동)"
340,대구염색지방산업단지,에이치에스글로벌(주),053-341-6461,폴리에스텔,"대구광역시 서구 염색공단중앙로22길 15 (비산동, 쌍호염직)"
341,대구염색지방산업단지,(주)은일섬유,053-341-6461,폴리에스텔 감량,"대구광역시 서구 염색공단중앙로22길 15, (주)은일섬유 (비산동)"
342,대구염색지방산업단지,동신산업,053-341-7541,임대업,"대구광역시 서구 염색공단로13길 1 (비산동, 동신산업)"
343,대구염색지방산업단지,(주)한일합섬 대구지점,053-341-8510,도전사,대구광역시 서구 염색공단로13길 16 (비산동)
344,대구염색지방산업단지,유피엔,053-341-8552,폴리에스텔,"대구광역시 서구 염색공단천로11길 10, 유피엔 (비산동)"
345,대구염색지방산업단지,삼일염직(주),053-350-1121,면.T/C.나염,"대구광역시 서구 염색공단로11길 56 (비산동, 삼일 염직(주))"
346,대구염색지방산업단지,삼일방직(주)비산공장,053-350-1132,면직물날염,"대구광역시 서구 염색공단로11길 56 (비산동, 삼일 염직(주))"
347,대구염색지방산업단지,(주)진영피앤티,053-350-3114,폴리에스텔,"대구광역시 서구 염색공단천로 31 (비산동, 진영피엔피)"
348,대구염색지방산업단지,(주)에스엔에스,053-351-0190,폴리에스텔,"대구광역시 서구 달서천로 168 (평리동, (주)SNS)"
349,대구염색지방산업단지,(주)통합,053-351-1002,폴리에스텔,대구광역시 서구 염색공단중앙로21길 14 (비산동)
350,대구염색지방산업단지,삼보염공,053-351-1221,면.T/C,"대구광역시 서구 염색공단중앙로12길 27 (비산동, 삼보염직)"
351,대구염색지방산업단지,(주)삼보염공,053-351-1221,면염색업,"대구광역시 서구 염색공단중앙로12길 27, (주)삼보염공 (비산동, 삼보염직)"
352,대구염색지방산업단지,명진염색&가공,053-351-1281,나염,대구광역시 서구 염색공단로11길 34 (비산동)
353,대구염색지방산업단지,(주)영동염직,053-351-1851,폴리에스텔,"대구광역시 서구 염색공단천로19길 37 (비산동, (주)영동염직)"
354,대구염색지방산업단지,(주)태승섬유,053-351-2111,폴리에스텔,대구광역시 서구 염색공단중앙로14길 12 (비산동)
355,대구염색지방산업단지,고려,053-351-3761,부동산임대업,대구광역시 서구 달서천로 164 (평리동)
356,대구염색지방산업단지,(주)고려텍스,053-351-3761,폴리에스텔 염색,대구광역시 서구 염색공단중앙로22길 37 (비산동)
357,대구염색지방산업단지,태화섬유(주),053-351-3762,섬유염색,"대구광역시 서구 달서천로 164 (평리동, 고려염공)"
358,대구염색지방산업단지,대구특수나염(주),053-351-5833,폴리에스텔,"대구광역시 서구 염색공단중앙로 111 (비산동, 대구특수나염) (총 2 필지)"
359,대구염색지방산업단지,한진섬유,053-351-7467,염색,"대구광역시 서구 염색공단천로7길 6, 한진섬유 (비산동)"
360,대구염색지방산업단지,(주)은성다이텍,053-351-9001,Polyester Fabric,대구광역시 서구 염색공단중앙로22길 11 (비산동)
361,대구염색지방산업단지,(주)국제텍,053-351-9555,폴리에스텔,"대구광역시 서구 염색공단중앙로 122 (비산동, 국제염직(주))"
362,대구염색지방산업단지,(주)대경텍,053-351-9821,섬유염색(울및 실크),"대구광역시 서구 염색공단중앙로12길 36 (비산동, (주)스카이다이텍)"
363,대구염색지방산업단지,(주)부성,053-352-1912,면.T/C.나염,"대구광역시 서구 염색공단천로11길 30 (비산동, 부성염직)"
364,대구염색지방산업단지,(주)혜성섬유,053-352-2266,사염(폴리에스텔),"대구광역시 서구 염색공단천로 37 (비산동, 혜성섬유)"
365,대구염색지방산업단지,한비섬유,053-352-4091,폴리에스텔 나염,"대구광역시 서구 염색공단천로23길 33 (비산동, 한빛섬유)"
366,대구염색지방산업단지,(주)대흥염공,053-352-4915,폴리에스텔.나이론(다우다),"대구광역시 서구 염색공단로11길 40-18 (비산동, (주)대흥염공)"
367,대구염색지방산업단지,텍스코프(주),053-352-5101,기능성 염색가공,대구광역시 서구 달서천로 72 (이현동)
368,대구염색지방산업단지,(주)동보산업사,053-352-5240,나일론직물염색,"대구광역시 서구 염색공단로21길 19-5 (비산동, 동보산업사)"
369,대구염색지방산업단지,(주)대건산업,053-352-5370,폴리에스텔,"대구광역시 서구 염색공단중앙로 105 (비산동, (주)대건산업)"
370,대구염색지방산업단지,(주)청운텍스타일,053-352-6491,나염(폴리에스텔),"대구광역시 서구 염색공단천로19길 13 (비산동, (주)청운텍스타일)"
371,대구염색지방산업단지,흥구염공,053-353-0005,면 혼방사,대구광역시 서구 염색공단로21길 7 (비산동)
372,대구염색지방산업단지,극동섬유,053-353-1085,면사염색,"대구광역시 서구 염색공단로21길 19-17 (비산동, 극동섬유)"
373,대구염색지방산업단지,(주)조양염직,053-353-2531,폴리에스텔.스판,대구광역시 서구 염색공단로21길 19-15 (비산동)
374,대구염색지방산업단지,기원섬유,053-353-3240,벨벳,"대구광역시 서구 염색공단중앙로 59 (비산동, 기원섬유)"
375,대구염색지방산업단지,조일염공사,053-353-4567,염색,"대구광역시 서구 염색공단천로 45 (비산동, 조일염공)"
376,대구염색지방산업단지,(주)신영아이앤티,053-353-4671,나일론,"대구광역시 서구 염색공단로 47 (비산동, 신영염직)"
377,대구염색지방산업단지,삼환염공(주),053-353-4745,나이론직물염색,대구광역시 서구 염색공단로 71 (비산동)
378,대구염색지방산업단지,디와이컬러텍(주),053-353-5555,나이론,대구광역시 서구 염색공단중앙로22길 29
379,대구염색지방산업단지,(주)제일화섬,053-353-5600,사염(아크릴.면.T/C),"대구광역시 서구 염색공단중앙로23길 2 (비산동, (주)제일화섬염공)"
380,대구염색지방산업단지,동영염직(주),053-353-6111,폴리에스텔,"대구광역시 서구 염색공단중앙로 60 (비산동, (주)서도염직)"
381,대구염색지방산업단지,도미니코염직,053-353-6263,섬유염색가공,대구광역시 서구 염색공단로21길 20 (비산동)
382,대구염색지방산업단지,안성염직,053-353-7227,나이론(다우다),"대구광역시 서구 염색공단천로19길 36 (비산동, 안성염직)"
383,대구염색지방산업단지,(주)서도염직,053-353-8381,면.T/C.나염,"대구광역시 서구 염색공단중앙로 60 (비산동, (주)서도염직)"
384,대구염색지방산업단지,부건산업,053-353-8421,폴리에스텔,대구광역시 서구 염색공단천로19길 12 (비산동)
385,대구염색지방산업단지,진흥산업,053-353-8467,면T/C염색,"대구광역시 서구 염색공단로 53, 진흥산업 (비산동)"
386,대구염색지방산업단지,월드텍스,053-353-8553,"면,T/C","대구광역시 서구 달서천로 160-25 (평리동, 뉴월드)"
387,대구염색지방산업단지,동아산업사,053-353-8588,니트,"대구광역시 서구 염색공단로 91 (비산동, 동아산업사)"
388,대구염색지방산업단지,바다섬유,053-353-9464,면나염,"대구광역시 서구 염색공단중앙로 59, 바다섬유 (비산동, 기원섬유)"
389,대구염색지방산업단지,(주)앤디아이,053-353-9600,교직,"대구광역시 서구 염색공단중앙로22길 33 (비산동, (주)NDI)"
390,대구염색지방산업단지,달성다이텍(주),053-354-0011,폴리에스텔,"대구광역시 서구 염색공단천로11길 33 (비산동, 달성염직)"
391,대구염색지방산업단지,(주)명지특수가공,053-354-1267,섬유염색,"대구광역시 서구 염색공단중앙로 106 (비산동, 동서염직)"
392,대구염색지방산업단지,다온염색,053-354-2206,염색,"대구광역시 서구 염색공단천로11길 23 (비산동, 쌍호특수가공)"
393,대구염색지방산업단지,(주)유성염직,053-354-2271,폴리에스텔,"대구광역시 서구 달서천로 158 (평리동, (주)유성)"
394,대구염색지방산업단지,신창염직(주),053-354-3221,밸뱃,"대구광역시 서구 염색공단천로7길 30 (비산동, 신일염공)"
395,대구염색지방산업단지,한비염직(주),053-354-3261,폴리에스텔,"대구광역시 서구 달서천로 160-27 (평리동, 한비염직(주))"
396,대구염색지방산업단지,중앙나염(주),053-354-4155,나염(폴리에스텔),"대구광역시 서구 염색공단로13길 28 (비산동, 중앙나염(주))"
397,대구염색지방산업단지,(주)월드염공,053-354-5001,폴리에스텔,"대구광역시 서구 염색공단중앙로21길 38 (비산동, 월드염공(주))"
398,대구염색지방산업단지,그린힐염직(주),053-354-5101,교직,"대구광역시 서구 달서천로 144 (평리동, 그린힐염직)"
399,대구염색지방산업단지,미광다이텍(주),053-354-5152,나이론(다우다),대구광역시 서구 염색공단천로11길 11 (비산동)
400,대구염색지방산업단지,대한기업,053-354-5590,폴리에스텔.T/C,"대구광역시 서구 달서천로 28 (이현동, 대한기업)"
401,대구염색지방산업단지,삼우D.F.C,053-354-5861,교직,"대구광역시 서구 염색공단로13길 22 (비산동, 삼우D.F.C)"
402,대구염색지방산업단지,진흥피그먼트,053-354-8504,피그먼트염색,"대구광역시 서구 염색공단중앙로12길 27 (비산동, 삼보염직)"
403,대구염색지방산업단지,(주)신화염직,053-355-0224,폴리에스텔,"대구광역시 서구 염색공단천로11길 14 (비산동, 신화염직)"
404,대구염색지방산업단지,삼성염직(주),053-355-1421,나이론(옥스포드),"대구광역시 서구 염색공단중앙로12길 9 (비산동, (주)삼성염직)"
405,대구염색지방산업단지,세명염직(주),053-355-1441,면.T/C.나염,"대구광역시 서구 염색공단천로 41 (비산동, 세명염직)"
406,대구염색지방산업단지,(주)성화다이텍,053-355-1841,실염색,"대구광역시 서구 염색공단중앙로 61 (비산동, 성산합섬(주))"
407,대구염색지방산업단지,(주)태광산업 대구사업소,053-355-4121,폴리에스텔.나염,대구광역시 서구 염색공단중앙로 95 (비산동)
408,대구염색지방산업단지,합동염색(주),053-355-5111,섬유염색,"대구광역시 서구 염색공단천로 93, (2041-50번지) (비산동)"
409,대구염색지방산업단지,현대바이오텍(주),053-355-5900,섬유염색,대구광역시 서구 염색공단천로19길 23 (비산동)
410,대구염색지방산업단지,명신염공,053-355-7771,면니트원단 염색,대구광역시 서구 염색공단로 68 (비산동)
411,대구염색지방산업단지,명신염공,053-355-7771,"사염(아크릴,면메리야스)","대구광역시 서구 염색공단로 68 (비산동, 명신염공)"
412,대구염색지방산업단지,한서실업(주),053-356-0051,교직,"대구광역시 서구 달서천로 76 (평리동, 한서실업(주))"
413,대구염색지방산업단지,한서실업(주)비산2공장,053-356-0051,카시트염색,대구광역시 서구 염색공단천로7길 34 (비산동)
414,대구염색지방산업단지,현대특수바이오,053-356-0261,직물염색가공,"대구광역시 서구 염색공단중앙로12길 33 (비산동, 대한화섬(주))"
415,대구염색지방산업단지,대한화섬(주) 대구공장,053-356-0567,폴리에스텔,"대구광역시 서구 염색공단중앙로12길 33 (비산동, 대한화섬(주))"
416,대구염색지방산업단지,(주)명진섬유,053-356-1311,폴리에스텔.나염,"대구광역시 서구 달서천로 42 (이현동, (주)명진섬유)"
417,대구염색지방산업단지,(주)세일섬유,053-356-2994,사염,"대구광역시 서구 염색공단천로19길 12 (비산동, 세일섬유)"
418,대구염색지방산업단지,쌍호특수가공,053-356-3441,폴리에스텔,"대구광역시 서구 염색공단천로11길 23 (비산동, 쌍호특수가공)"
419,대구염색지방산업단지,(주)청운다이텍,053-356-3590,폴리에스텔 염색원단,대구광역시 서구 달서천로 160 (평리동)
420,대구염색지방산업단지,(주)제준염직,053-356-5701,폴리에스텔,"대구광역시 서구 달서천로 82 (평리동, (주)제준염직)"
421,대구염색지방산업단지,(주)진흥염직,053-356-5823,면.T/C.나염,"대구광역시 서구 염색공단중앙로 112 (비산동, 서진염직)"
422,대구염색지방산업단지,(주)광덕텍스타일,053-356-6433,나염,대구광역시 서구 염색공단중앙로23길 23 (비산동)
423,대구염색지방산업단지,(주)을화 비산공장,053-356-7673,폴리에스텔,"대구광역시 서구 염색공단중앙로 100 (비산동, (주)을화)"
424,대구염색지방산업단지,대한염직(주),053-356-7851,폴리에스텔,대구광역시 서구 달서로34길 3-14 (비산동)
425,대구염색지방산업단지,(주)평안 이현공장,053-356-8600,폴리에스텔.나염,"대구광역시 서구 달서천로 30 (이현동, (주)평안이현공잔)"
426,대구염색지방산업단지,(주)영광염직,053-357-1888,폴리에스텔,대구광역시 서구 평리동 4036 번지
427,대구염색지방산업단지,(주)협진화학,053-357-2133,섬유용 바인다(접착제),"대구광역시 서구 염색공단중앙로22길 7 (비산동, (주)협진화학)"
428,대구염색지방산업단지,와이디텍스타일(주)대구지점,053-357-2516,폴리에스텔,"대구광역시 서구 달서천로 86 (평리동, (주)선광염직)"
429,대구염색지방산업단지,신일염공,053-357-4785,나이론(다우다),"대구광역시 서구 염색공단천로7길 30 (비산동, 신일염공)"
430,대구염색지방산업단지,일홍염직(주),053-357-4912,폴리에스텔염색,"대구광역시 서구 염색공단중앙로22길 12, 일홍염직(주) (비산동, 욱일섬유)"
431,대구염색지방산업단지,(주) 이 주,053-357-5210,의류용심지,"대구광역시 서구 염색공단중앙로21길 33 (비산동, 이주염공)"
432,대구염색지방산업단지,(유)대안에이엔씨,053-357-8780,나염,"대구광역시 서구 염색공단로21길 8, (유)대안에이엔씨 (비산동)"
433,대구염색지방산업단지,(주)대안,053-357-8784,섬유염색,"대구광역시 서구 달서천로 68 (이현동, (주)대안)"
434,대구염색지방산업단지,영지산업(주),053-357-9991,폴리에스텔,"대구광역시 서구 염색공단로 67 (비산동, 영지산업)"
435,대구염색지방산업단지,미래섬유,053-358-0664,폴리에스텔,대구광역시 서구 염색공단로 63 (비산동)
436,대구염색지방산업단지,알파다이텍,053-358-1991,폴리,"대구광역시 서구 달서천로 72 (이현동, (주)소성)"
437,대구염색지방산업단지,경남산업,053-358-2370,폴리원단 염색,대구광역시 서구 염색공단천로19길 20 (비산동)
438,대구염색지방산업단지,(주)명신염색가공,053-358-3646,교직물 염색,"대구광역시 서구 염색공단중앙로12길 32 (비산동, 아성염직(주)) (총 3 필지)"
439,대구염색지방산업단지,진호염직(주),053-358-5201,폴리에스텔,대구광역시 서구 염색공단중앙로 70 (비산동)
440,대구염색지방산업단지,한우염공,053-358-5221,폴리에스텔,"대구광역시 서구 염색공단중앙로12길 22 (비산동, 한우염공)"
441,대구염색지방산업단지,(주)동진상사,053-358-7521,나일론염색,"대구광역시 서구 염색공단로 90, (주)동진상사 (비산동, 성안염직공업사)"
442,대구염색지방산업단지,(주)동진상사,053-358-7521,폴리에스텔,"대구광역시 서구 염색공단천로7길 10 (비산동, (주)동진상사)"
443,대구염색지방산업단지,(주)무길염공,053-358-9000,폴리에스텔(비감량),"대구광역시 서구 염색공단로 117 (비산동, 니트시제품센터)"
444,대구염색지방산업단지,(주)대광교역,053-358-9111,나이론,"대구광역시 서구 염색공단로 27 (비산동, (주)대광교역)"
445,대구염색지방산업단지,우일염직(주),053-358-9191,나이론(옥스포드),"대구광역시 서구 염색공단로 74 (비산동, 2041-133)"
446,대구염색지방산업단지,욱일 I D C,053-358-9771,니트,"대구광역시 서구 염색공단로 116 (비산동, 비산염색공단아파트)"
